experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp4,temp_only,H5B,15°C,0,1,1,69.61,0.024000000000000004,0.024,0.024,0.024,69.61,0,0,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,30°C,0,1,1,69.36,0.025333333333333333,0.025,0.024,0.027,69.36,0,0,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,C8-P4,4°C,0,1,1,69.14,0.024000000000000004,0.024,0.024,0.024,69.14,0,0,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,15°C,0,1,1,68.34,0.023333333333333334,0.023,0.023,0.024,68.34,0,0,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,30°C,0,1,1,69.37,0.02466666666666667,0.025,0.024,0.025,69.37,0,0,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW2B-HB1,4°C,0,1,1,69.54,0.02266666666666667,0.023,0.023,0.022,69.54,0,0,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,15°C,0,1,1,69.58,0.023333333333333334,0.024,0.023,0.023,69.58,0,0,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,30°C,0,1,1,69.58,0.025,0.025,0.026,0.025,69.58,0,0,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW1C-HB20,4°C,0,1,1,69.4,0.025,0.03,0.028,0.033,69.4,0,0,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,15°C,0,1,1,69.33,0.025,0.024,0.027,0.024,69.33,0,0,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,30°C,0,1,1,69.48,0.025,0.031,0.026,0.03,69.48,0,0,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,H5G,4°C,0,2,3,69.43,0.041,0.037,0.039,0.047,69.43,0,0,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,15°C,0,2,3,69.31,0.243,0.243,0.241,0.245,69.25,-0.060000000000002274,-0.24691358024692295,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,30°C,0,2,3,67.42,0.42933333333333334,0.422,0.426,0.44,69.31,1.8900000000000006,4.402173913043479,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,4°C,0,2,3,68.73,0.09966666666666668,0.111,0.1,0.088,69.67,0.9399999999999977,9.431438127090276,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,15°C,0,2,3,68.68,0.47433333333333333,0.482,0.467,0.474,69.61,0.9299999999999926,1.9606465214335755,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,30°C,0,2,3,69.17,0.05566666666666667,0.073,0.054,0.04,69.36,0.18999999999999773,3.41317365269457,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,C8-P4,4°C,0,2,3,67.69,0.48666666666666664,0.485,0.483,0.492,69.14,1.4500000000000028,2.9794520547945265,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,15°C,0,2,3,62.97,0.03966666666666667,0.035,0.039,0.045,68.34,5.3700000000000045,135.3781512605043,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,30°C,0,2,3,36.68,0.119,0.117,0.118,0.122,69.37,32.690000000000005,274.7058823529412,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW2B-HB1,4°C,0,2,3,56.02,0.041,0.041,0.041,0.041,69.54,13.520000000000003,329.75609756097566,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,15°C,0,2,3,58.7,0.14300000000000002,0.139,0.139,0.151,69.58,10.879999999999995,76.08391608391604,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,30°C,0,2,3,46.73,0.375,0.374,0.382,0.369,69.58,22.85,60.93333333333334,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW1C-HB20,4°C,0,2,3,56.65,0.04133333333333333,0.048,0.038,0.038,69.4,12.750000000000007,308.46774193548407,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,15°C,0,2,3,55.45,0.13,0.133,0.13,0.127,69.33,13.879999999999995,106.76923076923073,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,30°C,0,2,3,54.77,0.18066666666666667,0.22,0.212,0.11,69.48,14.71,81.42066420664207,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,H5G,4°C,0,3,5,69.04,0.08366666666666667,0.079,0.089,0.083,69.43,0.39000000000000057,4.661354581673313,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,15°C,0,3,5,69.32,0.5776666666666667,0.585,0.579,0.569,69.25,-0.06999999999999318,-0.12117714945180585,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,30°C,0,3,5,64.74,0.5253333333333333,0.505,0.532,0.539,69.31,4.570000000000007,8.699238578680218,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,4°C,0,3,5,68.35,0.07366666666666667,0.08,0.076,0.065,69.67,1.3200000000000074,17.918552036199195,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,15°C,0,3,5,68.17,0.7043333333333334,0.683,0.712,0.718,69.61,1.4399999999999977,2.044486512068146,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,30°C,0,3,5,62.23,0.36466666666666664,0.368,0.365,0.361,69.36,7.130000000000003,19.552102376599642,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,C8-P4,4°C,0,3,5,49.46,0.10133333333333333,0.144,0.075,0.085,69.14,19.68,194.21052631578948,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,15°C,0,3,5,43.93,0.4306666666666667,0.422,0.432,0.438,68.34,24.410000000000004,56.679566563467496,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,30°C,0,3,5,58.17,0.21966666666666668,0.213,0.22,0.226,69.37,11.200000000000003,50.98634294385433,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW2B-HB1,4°C,0,3,5,43.71,0.07566666666666667,0.075,0.084,0.068,69.54,25.830000000000005,341.36563876651985,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,15°C,0,3,5,30.54,0.3433333333333333,0.348,0.333,0.349,69.58,39.04,113.70873786407768,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,30°C,0,3,5,32.56,0.15466666666666665,0.153,0.154,0.157,69.58,37.019999999999996,239.35344827586206,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW1C-HB20,4°C,0,3,5,51.65,0.06633333333333334,0.066,0.067,0.066,69.4,17.750000000000007,267.58793969849256,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
